course_code,course_title,credits,course_type,component,section,slot,day,start,end,faculty,room
CSE301,Design and Analysis of Algorithms,3,theory,,A,T1,Mon,09:00,09:50,Faculty 1,
CSE301,,3,theory,,A,T1,Wed,09:00,09:50,Faculty 1,
CSE301,,3,theory,,A,T1,Fri,09:00,09:50,Faculty 1,
CSE301,,3,theory,,B,T3,Tue,10:50,11:40,Faculty 2,
CSE301,,3,theory,,B,T3,Thu,10:50,11:40,Faculty 2,
CSE301,,3,theory,,B,T5,Fri,13:30,14:20,Faculty 2,
CSE302,Operating Systems,3,theory,,A,T3,Mon,10:50,11:40,Faculty 3,
CSE302,,3,theory,,A,T3,Wed,10:50,11:40,Faculty 3,
CSE302,,3,theory,,A,T1,Thu,09:00,09:50,Faculty 3,
CSE302,,3,theory,,B,T1,Tue,09:00,09:50,Faculty 4,
CSE302,,3,theory,,B,T5,Thu,13:30,14:20,Faculty 4,
CSE302,,3,theory,,B,T3,Fri,10:50,11:40,Faculty 4,
CSE310,Computer Networks,4,tel,,A,T2,Mon,09:50,10:40,Faculty 5,
CSE310,,4,tel,,A,T2,Wed,09:50,10:40,Faculty 5,
CSE310,,,,,A,L3+L4,Tue,10:50,12:30,Faculty 5,Lab
CSE310,,4,tel,,B,T2,Tue,09:50,10:40,Faculty 6,
CSE310,,4,tel,,B,T2,Thu,09:50,10:40,Faculty 6,
CSE310,,,,,B,L3+L4,Fri,10:50,12:30,Faculty 6,Lab
CSE320,Database Systems,4,tel,theory,T1,T5,Mon,13:30,14:20,Faculty 7,
CSE320,,4,tel,theory,T1,T5,Wed,13:30,14:20,Faculty 7,
CSE320,,4,tel,theory,T2,T5,Tue,13:30,14:20,Faculty 8,
CSE320,,4,tel,theory,T2,T6,Thu,14:20,15:10,Faculty 8,
CSE320,,,,lab,L1,L3+L4,Mon,10:50,12:30,Faculty 7,Lab
CSE320,,,,lab,L2,L6+L7,Wed,14:20,16:10,Faculty 8,Lab
CSE320,,,,lab,L3,L3+L4,Thu,10:50,12:30,Faculty 7,Lab
CSE330,Machine Learning,3,theory,,A,T4,Mon,11:40,12:30,Faculty 9,
CSE330,,3,theory,,A,T4,Thu,11:40,12:30,Faculty 9,
CSE330,,3,theory,,B,T4,Wed,11:40,12:30,Faculty 10,
CSE330,,3,theory,,B,T4,Fri,11:40,12:30,Faculty 10,
MAT301,Probability and Statistics,3,theory,,A,T6,Mon,14:20,15:10,Faculty 11,
MAT301,,3,theory,,A,T6,Wed,14:20,15:10,Faculty 11,
MAT301,,3,theory,,A,T6,Fri,14:20,15:10,Faculty 11,
MAT301,,3,theory,,B,T6,Tue,14:20,15:10,Faculty 12,
MAT301,,3,theory,,B,T7,Thu,15:20,16:10,Faculty 12,
OE101,Open Elective: Behavioural Economics,2,theory,,A,T1,Sat,09:00,09:50,Faculty 13,
OE101,,2,theory,,A,T2,Sat,09:50,10:40,Faculty 13,
OE102,Open Elective: Creative Writing,2,theory,,A,T7,Tue,15:20,16:10,Faculty 14,
OE102,,2,theory,,A,T7,Fri,15:20,16:10,Faculty 14,
ENG201,Professional Communication,1,theory,,A,T7,Wed,15:20,16:10,Faculty 15,
ENG201,,1,theory,,B,T7,Thu,15:20,16:10,Faculty 15,
CSE499,Minor Project,4,project,,P,,,,,Guide TBD,
